iter	Passed	Remaining
0	15	3058
1	39	3955
2	53	3530
3	65	3219
4	83	3262
5	96	3114
6	110	3051
7	132	3171
8	144	3074
9	161	3077
10	174	2990
11	185	2911
12	202	2917
13	216	2882
14	243	3000
15	254	2926
16	264	2850
17	282	2854
18	293	2795
19	303	2733
20	322	2746
21	332	2687
22	350	2696
23	361	2653
24	375	2627
25	392	2625
26	407	2608
27	418	2572
28	445	2628
29	457	2594
30	477	2603
31	491	2580
32	507	2566
33	525	2567
34	542	2559
35	557	2540
36	571	2515
37	583	2488
38	600	2478
39	611	2447
40	637	2473
41	655	2464
42	671	2452
43	689	2445
44	706	2432
45	729	2441
46	764	2488
47	820	2599
48	877	2705
49	955	2865
50	1002	2930
51	1054	3001
52	1117	3098
53	1164	3149
54	1176	3100
55	1200	3087
56	1215	3049
57	1233	3019
58	1242	2970
59	1253	2923
60	1267	2888
61	1279	2847
62	1288	2802
63	1306	2776
64	1322	2747
65	1357	2755
66	1369	2719
67	1385	2689
68	1397	2653
69	1409	2616
70	1421	2582
71	1430	2543
72	1443	2510
73	1454	2475
74	1470	2450
75	1480	2415
76	1494	2386
77	1508	2359
78	1517	2323
79	1535	2303
80	1549	2276
81	1561	2246
82	1572	2216
83	1585	2188
84	1596	2160
85	1613	2138
86	1625	2111
87	1636	2083
88	1649	2057
89	1664	2033
90	1676	2007
91	1689	1983
92	1701	1957
93	1711	1930
94	1728	1910
95	1743	1888
96	1757	1866
97	1772	1844
98	1781	1817
99	1793	1793
100	1809	1773
101	1825	1753
102	1836	1729
103	1846	1704
104	1859	1682
105	1870	1658
106	1879	1633
107	1896	1615
108	1907	1592
109	1922	1573
110	1935	1551
111	1946	1529
112	1962	1510
113	1982	1495
114	2004	1481
115	2017	1461
116	2028	1438
117	2038	1416
118	2052	1397
119	2065	1377
120	2076	1355
121	2094	1338
122	2104	1317
123	2119	1298
124	2132	1279
125	2141	1257
126	2155	1238
127	2168	1219
128	2183	1201
129	2199	1184
130	2211	1164
131	2220	1143
132	2233	1125
133	2244	1105
134	2254	1085
135	2267	1066
136	2281	1049
137	2293	1030
138	2302	1010
139	2317	993
140	2330	975
141	2339	955
142	2350	936
143	2378	924
144	2389	906
145	2417	894
146	2433	877
147	2453	862
148	2465	843
149	2478	826
150	2494	809
151	2503	790
152	2519	774
153	2530	755
154	2543	738
155	2555	720
156	2566	703
157	2583	686
158	2605	671
159	2617	654
160	2626	636
161	2642	619
162	2657	603
163	2667	585
164	2684	569
165	2703	553
166	2716	536
167	2728	519
168	2739	502
169	2754	486
170	2768	469
171	2781	452
172	2805	437
173	2816	420
174	2827	403
175	2841	387
176	2852	370
177	2861	353
178	2886	338
179	2903	322
180	2916	306
181	2925	289
182	2936	272
183	2951	256
184	2973	241
185	3000	225
186	3016	209
187	3034	193
188	3050	177
189	3065	161
190	3083	145
191	3100	129
192	3116	113
193	3128	96
194	3138	80
195	3160	64
196	3172	48
197	3194	32
198	3208	16
199	3221	0
