Net Revenue,LEAD_STATUS,RGN_NAME,MKT_UNIT,LOC_NAME,DIV_NAME,NUM_UNITS,BU_NAME,RATING,FF_YRS_IN_BUS_CD,PRE_OPEN,CHAIN,CITY_CE,COUNTY_CE,STATE_CE,ZIP_CE,LATITUDE,LONGITUDE,FOUNTAIN_FLAG,Prestige account,Prestige Account Name,CITY,COUNTY,STATE,ZIP
759.6,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,1,6556.890311,0,6102.208892000001,0,0,6473.190522,6441.350950999999,7043.0101859999995,6473.190522,31.78910325,-95.61875085,1,0,,Palestine,Anderson,TX,75803
1406.8,0,5409.862755,7302.851048,6454.455976,5998.469353,1,6344.897185,0,6102.208892000001,0,0,6421.547985,6519.215457,6058.118024,6433.502641,36.1952459,-115.0895652,0,1,Caesar's Palace,LAS VEGAS,Clark,NV,89115
2088.3,0,5544.12736,4740.666806,6019.390684,5214.338214,1,6518.161306,1,6102.208892000001,0,0,6432.5747329999995,6429.462607,5816.8127810000005,6432.5747329999995,36.4737664,-82.8474658,0,0,,SURGOINSVILLE,Hawkins,TN,37873
12939.51,0,6798.068420999999,6430.99364,5923.061235,5998.469353,1,6556.890311,0,6102.208892000001,0,0,6471.744953,6237.446895,4962.037246,6464.52751,47.715731,-117.440667,1,0,,SPOKANE,Spokane,WA,99205
6362.95,0,5409.862755,4029.324651,5717.053843,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6492.409565,6346.869179,5174.348076,6492.409565,39.686159,-123.480386,1,0,,Laytonville,Mendocino,CA,95454
639.16,0,6798.068420999999,6136.680429999999,6369.984978,5998.469353,1,6556.890311,5,6102.208892000001,0,0,6475.177321,6444.735896,5334.681265,6475.177321,37.6511932,-105.8701755,1,0,,MOSCA,Alamosa,CO,81146
24235.35,0,6798.068420999999,6430.99364,9266.789664,5998.469353,1,6556.890311,4,7228.420638,0,0,7329.533289,7375.118602,7497.67897,7233.15808,42.3555034,-122.9005585,1,0,,MEDFORD,Jackson,OR,97501
11876.06,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,6,6556.890311,0,6978.113877,0,1,6592.409697,7098.014278000001,7043.0101859999995,6592.409697,33.4488217,-99.62260505,1,0,,Munday,Knox,TX,76371
6437.22,0,5544.12736,6280.191686,6164.578785,5214.338214,4,6556.890311,0,6456.673755,0,1,6480.660811,6426.647059000001,5738.320568,6521.714086,39.6756916,-79.849899,1,0,,MORGANTOWN,Monongalia,WV,26508
333.0,0,7865.829603,8194.856165000001,6167.710439,8429.882068,5,6556.890311,4.5,6102.208892000001,0,1,6440.12701,6190.267447,7043.0101859999995,6510.231323,31.09966469,-97.80565643,1,0,,KILLEEN,Bell,TX,76549
14279.65,0,7461.945589,10297.04826,7789.071373999999,8429.882068,1,6556.890311,0,7228.420638,0,0,6605.746463,6605.746463,10683.58233,6605.746463,38.3050719,-92.5773435,1,0,,Eldon,MILLER,MO,65026
13682.35,0,6798.068420999999,6136.680429999999,7711.024414,5998.469353,5,6556.890311,0,6102.208892000001,0,1,7268.087375,6935.80457,7043.0101859999995,6792.492206,35.19526291,-101.8175964,1,0,,AMARILLO,Potter,TX,79102
7507.1,0,7865.829603,8194.856165000001,7440.031551000001,8429.882068,6,6556.890311,0,6102.208892000001,0,1,6964.449643999999,6804.775679,7043.0101859999995,6612.746072,31.9203089,-102.2932346,1,0,,ODESSA,Ector,TX,79765
231.8,0,5409.862755,4029.324651,5717.053843,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6374.227397,6013.317989,5174.348076,6410.305386,38.2341512,-122.6454537,1,0,,PETALUMA,Sonoma,CA,94952
5404.95,0,4245.9674270000005,4777.168942,6251.295288,6249.421725,3,6556.890311,0,6102.208892000001,0,1,6517.68138,6496.093612,5874.187228,6517.68138,45.1831439,-69.25193698,1,0,,DOVR FOXCROFT,Piscataquis,ME,4426
8877.91,0,8272.590035,5857.841652,6393.952089,6249.421725,5,6556.890311,0,6978.113877,0,1,6425.300218,6311.78212,5678.593723,6550.356760000001,39.095307,-84.5773347,1,0,,CINCINNATI,Hamilton,OH,45238
333.0,0,5423.024702000001,5070.127909000001,6310.53952,5214.338214,6,6556.890311,0,6456.673755,0,1,6496.664001,6496.664001,5394.8608509999995,6496.664001,32.379776,-82.59381866,1,0,,SOPERTON,TREUTLEN,GA,30457
252.15,0,5409.862755,4699.610421,5792.493622999999,5998.469353,6,6556.890311,0,6978.113877,0,1,6416.558425,5091.283707,5174.348076,6473.089202,34.1645858,-118.4570896,1,0,,SHERMAN OAKS,Los angeles,CA,91403
496.37,0,7865.829603,5094.889361,6062.796438,8429.882068,6,6556.890311,0,6102.208892000001,0,1,5728.194264,4837.898294,7043.0101859999995,6469.090489,29.851056,-95.60581,1,0,,HOUSTON,Harris,TX,77041
705.31,0,7461.945589,6914.717079000001,6305.728415,8429.882068,1,6556.890311,0,6102.208892000001,0,0,6476.476958,6435.171598,5794.596606,6476.476958,42.4217119,-94.8570144,1,0,,LYTTON,Calhoun,IA,50561
691.8,0,7865.829603,5094.889361,6062.796438,8429.882068,5,6556.890311,0,6102.208892000001,0,1,5728.194264,4837.898294,7043.0101859999995,6472.087288000001,29.9387603,-95.4602937,1,0,,HOUSTON,Harris,TX,77038
2152.55,0,5423.024702000001,5138.591952000001,6137.984863000001,5214.338214,1,6556.890311,0,6102.208892000001,0,0,6478.802928,6171.401495,5201.887175,6428.882282,28.36122,-80.75484416,1,0,,COCOA,Brevard,FL,32922
496.53,0,7461.945589,4281.759279999999,5703.778215,8429.882068,1,6556.890311,0,6978.113877,0,0,6244.308375,6298.926917,4530.297843,6472.124845,43.089342,-88.047109,1,1,Potawatomi Casino,MILWAUKEE,Milwaukee,WI,53222
6798.16,0,6798.068420999999,7591.294137999999,7223.38242,5998.469353,1,6556.890311,0,6456.673755,0,0,6527.878278,6506.4049939999995,7102.811853,6506.4049939999995,32.2674578,-107.770054,1,0,,DEMING,Luna,NM,88030
8760.1,0,7865.829603,6002.782389,6549.7476560000005,5214.338214,1,6556.890311,0,7228.420638,0,0,6557.769466,6500.099117,5560.1332219999995,6557.769466,35.3596747,-93.5354145,1,0,,Scranton,Logan,AR,72863
4033.48,0,8272.590035,6176.347464,6384.787803,6249.421725,6,6556.890311,0,6456.673755,0,1,6522.525275999999,6527.809273,5019.174027,6522.525275999999,40.3677881,-79.7813128,1,0,,N VERSAILLES,ALLEGHENY,PA,15137
113.05,0,5409.862755,4029.324651,5717.053843,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6424.892314,6284.409328,5174.348076,6442.411305,38.0065819,-122.5442326,1,0,,SAN RAFAEL,Marin,CA,94903
2660.72,0,5544.12736,6439.48451,6067.0305020000005,5214.338214,1,6556.890311,0,7228.420638,0,0,6390.641672,6445.978491,5816.8127810000005,6390.641672,35.2453332,-87.3647921,1,0,,LAWRENCEBURG,LAWRENCE,TN,38464
2698.58,0,4245.9674270000005,4777.168942,6251.295288,6249.421725,5,6556.890311,0,6102.208892000001,0,1,6487.635043,6360.434825,5678.593723,6487.635043,41.4619427,-81.4876304,1,1,Progressive Field,BEACHWOOD,Cuyahoga,OH,44122
3744.18,0,7461.945589,4856.990025,5647.039186,8429.882068,6,6556.890311,0,6456.673755,0,1,6477.402151,6493.346694,6769.636231,6493.346694,42.2552847,-88.6088845,1,0,,MARENGO,MCHENRY,IL,60152
1453.25,0,5409.862755,4029.324651,6513.880529999999,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6459.3596130000005,6654.55316,5174.348076,6544.69273,39.927657,-122.198233,1,0,,CORNING,Tehama,CA,96021
5682.25,0,5544.12736,6280.191686,6762.7407,5214.338214,1,6556.890311,0,7228.420638,0,0,5806.9622469999995,6535.132865,6344.70298,6505.126364,37.4067887,-87.26150995,1,0,,SACRAMENTO,Mclean,KY,42372
27259.3,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,4,6556.890311,0,6102.208892000001,0,1,6883.908873,6798.232376999999,5816.8127810000005,6675.172903,35.746123,-83.9700618,1,0,,MARYVILLE,Blount,TN,37803
5388.15,0,7461.945589,6914.717079000001,6185.595365,8429.882068,1,6556.890311,3,6456.673755,0,0,6510.106952,6312.127805,5794.596606,6539.87019,41.6419622,-91.5057984,1,0,,IOWA CITY,Johnson,IA,52240
2265.0,0,4245.9674270000005,4712.520096,6357.419483,6249.421725,5,6556.890311,0,6456.673755,0,1,6366.64009,6458.733502,4700.738749,6489.738047,43.0794639,-75.3737816,1,0,,CLINTON,Oneida,NY,13323
165.85,0,5409.862755,7302.851048,5832.07715,5998.469353,1,6344.897185,0,6102.208892000001,0,0,6432.7544530000005,6282.2513420000005,6058.118024,6432.7544530000005,40.9744212,-117.7380045,0,0,,WINNEMUCCA,Humboldt,NV,89445
3915.65,0,5423.024702000001,5138.591952000001,6412.456342,5214.338214,1,6344.897185,0,6102.208892000001,0,0,6461.839961,6311.78212,5201.887175,6461.839961,30.3298449,-82.755313,0,0,,WHITE SPRINGS,Hamilton,FL,32096
5158.8,0,5544.12736,6439.48451,7414.180754999999,5214.338214,6,6556.890311,3.5,6978.113877,0,1,6499.457338,6496.595553,5816.8127810000005,6496.595553,35.87424,-84.4593359,1,0,,KINGSTON,Roane,TN,37763
-83.5,0,4245.9674270000005,5246.877089,6096.417453,6249.421725,1,6556.890311,0,6978.113877,0,0,6506.358415,6429.214475,5019.174027,6506.358415,40.4215879,-76.5764092,1,1,Hershey Park,ANNVILLE,Lebanon,PA,17003
612.0,0,5423.024702000001,5138.591952000001,6453.939332,5214.338214,1,6556.890311,0,6102.208892000001,0,0,6472.775175,6323.816847,5201.887175,6472.775175,28.029334,-81.908077,1,0,,LAKELAND,Polk,FL,33801
4497.85,0,5544.12736,6041.264681000001,6166.36705,5214.338214,5,6556.890311,2,6102.208892000001,0,1,6633.213041,6692.14579,5980.856511999999,6538.999829,39.23855972,-76.61061859,1,1,University of Maryland,BALTIMORE,Baltimore city,MD,21225
8638.98,0,6798.068420999999,6136.680429999999,7711.024414,5998.469353,6,6556.890311,0,6978.113877,0,1,6538.070357,6566.973752,7043.0101859999995,6566.973752,34.8117629,-102.4053496,1,0,,HEREFORD,Deaf smith,TX,79045
432.5,0,6798.068420999999,6136.680429999999,5068.871261,5998.469353,1,6556.890311,5,6978.113877,0,0,6269.2369659999995,6233.311382,5334.681265,6414.836791,39.65299457,-104.983123,1,1,Pepsi Center,ENGLEWOOD,Arapahoe,CO,80113
5374.11,0,7461.945589,5075.67538,5985.730516,8429.882068,1,6556.890311,2,7228.420638,0,0,6420.121289,6370.3823219999995,5790.989605,6473.853131,43.6063408,-96.5728965,1,0,,BRANDON,Minnehaha,SD,57005
19600.17,0,5423.024702000001,7432.699823000001,7697.646662,5214.338214,5,6556.890311,2.5,6102.208892000001,0,1,6736.271293000001,6772.72617,5394.8608509999995,6736.271293000001,31.81472206,-81.65044403,1,0,,HINESVILLE,Liberty,GA,31313
11690.1,0,5544.12736,6439.48451,7414.180754999999,5214.338214,5,6556.890311,0,6102.208892000001,0,1,7248.495909,7098.014278000001,5816.8127810000005,6592.453103,35.92948151,-84.08821106,1,0,,KNOXVILLE,Knox,TN,37923
5921.33,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,1,6556.890311,0,7228.420638,0,0,6515.940852000001,6515.908593,10683.58233,6515.940852000001,37.15760803,-92.93937683,1,0,,FORDLAND,WEBSTER,MO,65652
6319.67,0,7865.829603,8194.856165000001,7440.031551000001,8429.882068,6,6556.890311,0,6102.208892000001,0,1,6711.618556,6527.8340530000005,7043.0101859999995,6527.8340530000005,31.4058753,-102.3536041,1,0,,CRANE,Crane,TX,79731
5931.78,0,6798.068420999999,7302.851048,6178.236245,5998.469353,1,6556.890311,0,6456.673755,0,0,6448.13488,6391.566158,5899.296011,6503.169796,43.6646155,-116.6908435,1,0,,CALDWELL,Canyon,ID,83605
5792.7,0,5409.862755,7302.851048,7952.083034,5998.469353,1,6556.890311,5,6102.208892000001,0,0,6521.626364,6805.079256,9159.69895,6521.626364,37.8256986,-112.4356802,1,0,,Panguitch,Garfield,UT,84759
3435.66,0,7461.945589,4281.759279999999,5763.344464,8429.882068,6,6556.890311,0,6102.208892000001,0,1,6379.61514,6205.921445,6769.636231,6489.293557999999,42.451185,-88.305415,1,0,,Richmond,Mchenry,IL,60071
16623.59,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,1,6556.890311,0,6102.208892000001,0,0,6603.317123,9858.517393,6769.636231,6603.317123,38.7864622,-89.7775776,1,0,,MARINE,Madison,IL,62061
7811.0,0,7461.945589,10297.04826,8933.623114,8429.882068,1,6556.890311,0,7228.420638,0,0,6546.1961329999995,6546.1961329999995,9804.577296,6546.1961329999995,38.3615562,-98.7694369,1,0,,GREAT BEND,Barton,KS,67530
1351.94,0,5409.862755,4029.324651,4881.704635,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6399.7110299999995,5471.594104,5174.348076,6440.308327000001,38.4385967,-121.4171262,1,0,,ELK GROVE,Sacramento,CA,95758
11155.19,0,5409.862755,7459.802928,7347.41493,5998.469353,5,6556.890311,0,6102.208892000001,0,1,7696.776417,7227.638329,5174.348076,6614.646847999999,35.33983231,-119.0183106,1,0,,BAKERSFIELD,Kern,CA,93304
7279.37,0,5423.024702000001,7432.699823000001,6708.61608,5214.338214,5,6556.890311,0,6102.208892000001,0,1,7546.808523000001,6441.350950999999,6764.412656999999,6530.9231310000005,34.5258043,-82.6580031,1,0,,ANDERSON,Anderson,SC,29621
6045.18,0,6798.068420999999,6430.99364,5708.920048,5998.469353,5,6556.890311,0,6102.208892000001,0,1,5934.745332,5936.714504,7497.67897,6467.199023,45.53342438,-122.6017304,1,0,,PORTLAND,Multnomah,OR,97213
5994.62,0,7461.945589,4281.759279999999,5763.344464,8429.882068,5,6556.890311,2,6102.208892000001,0,1,6517.694317,5793.693897,6769.636231,6517.694317,42.20006943,-87.83218384,1,1,Chicago Theater,HIGHLAND PARK,Lake,IL,60035
6931.62,0,4245.9674270000005,6058.753734000001,6399.462743,6249.421725,6,6556.890311,1,6978.113877,0,1,7178.425805,7024.324289,7043.0101859999995,6535.422898,32.4030289,-99.7654071,1,0,,ABILENE,Taylor,TX,79606
2563.85,0,7865.829603,5094.889361,6611.443328,8429.882068,1,6556.890311,0,6102.208892000001,0,0,6437.2189880000005,6943.423712000001,7043.0101859999995,6486.017255,30.0351496,-94.0991272,1,0,,BEAUMONT,Jefferson,TX,77705
